country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
United States,US,2024-04-21,Films,1,What Jennifer Did,N/A,2
United States,US,2024-04-21,Films,2,Anna,N/A,1
United States,US,2024-04-21,Films,3,Rebel Moon — Part Two: The Scargiver,N/A,1
United States,US,2024-04-21,Films,4,Woody Woodpecker Goes to Camp,N/A,2
United States,US,2024-04-21,Films,5,The Bricklayer,N/A,2
United States,US,2024-04-21,Films,6,Megan Leavey,N/A,2
United States,US,2024-04-21,Films,7,The Super Mario Bros. Movie,N/A,21
United States,US,2024-04-21,Films,8,Knocked Up,N/A,1
United States,US,2024-04-21,Films,9,Glass,N/A,3
United States,US,2024-04-21,Films,10,Hotel Transylvania 2,N/A,5
United States,US,2024-04-21,TV,1,Baby Reindeer,Baby Reindeer: Limited Series,2
United States,US,2024-04-21,TV,2,Unlocked: A Jail Experiment,Unlocked: A Jail Experiment: Season 1,2
United States,US,2024-04-21,TV,3,Killing Eve,Killing Eve: Season 1,1
United States,US,2024-04-21,TV,4,The Circle,The Circle: Season 6,1
United States,US,2024-04-21,TV,5,30 for 30: O.J.: Made in America,30 for 30: O.J.: Made in America: Season 1,1
United States,US,2024-04-21,TV,6,The Upshaws,The Upshaws: Part 5,1
United States,US,2024-04-21,TV,7,Our Living World,Our Living World: Limited Series,1
United States,US,2024-04-21,TV,8,Bad Dinosaurs,Bad Dinosaurs: Season 1,3
United States,US,2024-04-21,TV,9,Black Sails,Black Sails: Season 1,1
United States,US,2024-04-21,TV,10,3 Body Problem,3 Body Problem: Season 1,5
United States,US,2024-04-14,Films,1,What Jennifer Did,N/A,1
United States,US,2024-04-14,Films,2,Megan Leavey,N/A,1
United States,US,2024-04-14,Films,3,The Bricklayer,N/A,1
United States,US,2024-04-14,Films,4,Glass,N/A,2
United States,US,2024-04-14,Films,5,The Little Things,N/A,2
United States,US,2024-04-14,Films,6,Woody Woodpecker Goes to Camp,N/A,1
United States,US,2024-04-14,Films,7,Hotel Transylvania 2,N/A,4
United States,US,2024-04-14,Films,8,The Super Mario Bros. Movie,N/A,20
United States,US,2024-04-14,Films,9,Hotel Transylvania,N/A,2
United States,US,2024-04-14,Films,10,Happy Gilmore,N/A,4
United States,US,2024-04-14,TV,1,Unlocked: A Jail Experiment,Unlocked: A Jail Experiment: Season 1,1
