"","week","weekly_rank","show_title","weekly_hours_viewed","runtime","weekly_views","cumulative_weeks_in_top_10","is_staggered_launch","awards","genre_Dramas","genre_Comedies","genre_International","english"
"1","2024-03-24",3,"Shooter",11700000,2.0833,5600000,5,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"2","2024-03-24",6,"Hellboy",7500000,2.0167,3700000,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"3","2024-03-17",3,"Alone",5900000,1.6333,3600000,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"4","2024-03-17",10,"Turbo",4300000,1.6,2700000,4,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"5","2024-03-10",4,"Code 8",9400000,1.65,5700000,2,"false",FALSE,FALSE,FALSE,TRUE,TRUE
"6","2024-03-10",5,"Mea Culpa",10200000,2,5100000,3,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"7","2024-03-10",9,"Dr. Seuss' The Grinch",4400000,1.4333,3100000,7,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"8","2024-03-03",2,"Mea Culpa",36900000,2,18500000,2,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"9","2024-03-03",4,"Code 8",12800000,1.65,7800000,1,"false",FALSE,FALSE,FALSE,TRUE,TRUE
"10","2024-02-25",1,"Mea Culpa",3.2e+07,2,1.6e+07,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"11","2024-02-25",2,"Players",1.3e+07,1.75,7400000,2,"false",FALSE,FALSE,FALSE,TRUE,TRUE
"12","2024-02-25",4,"Kill Me If You Dare",5500000,1.5667,3500000,2,"false",FALSE,FALSE,TRUE,TRUE,FALSE
"13","2024-02-18",1,"Players",28500000,1.75,16300000,1,"false",FALSE,FALSE,FALSE,TRUE,TRUE
"14","2024-02-18",9,"American Assassin",6500000,1.8667,3500000,3,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"15","2024-02-18",3,"Kill Me If You Dare",9100000,1.5667,5800000,1,"false",FALSE,FALSE,TRUE,TRUE,FALSE
