"","week","weekly_rank","show_title","season_title","weekly_hours_viewed","runtime","weekly_views","cumulative_weeks_in_top_10","is_staggered_launch","awards","genre_Dramas","genre_Comedies","genre_International","english","season","is_limited_series"
"1","2024-04-21",5,"Heartbreak High","Heartbreak High: Season 2",2e+07,6.7833,2900000,2,"false",FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
"2","2024-04-21",9,"The Circle","The Circle: Season 6",6600000,3.25,2e+06,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE,6,FALSE
"3","2024-04-14",7,"Heartbreak High","Heartbreak High: Season 2",15800000,6.7833,2300000,1,"false",FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
"4","2024-03-31",6,"Gabby's Dollhouse","Gabby's Dollhouse: Season 9",5500000,2.4333,2300000,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE,9,FALSE
"5","2024-03-31",10,"The Signal","The Signal: Limited Series",5600000,4.15,1300000,4,"false",FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE
"6","2024-03-24",10,"One Day","One Day: Limited Series",8400000,6.6667,1300000,7,"false",FALSE,TRUE,FALSE,TRUE,TRUE,1,TRUE
"7","2024-03-24",5,"The Signal","The Signal: Limited Series",9400000,4.15,2300000,3,"false",FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE
"8","2024-03-24",9,"Young Royals","Young Royals: Season 3",7800000,4.9,1600000,2,"false",FALSE,FALSE,FALSE,TRUE,FALSE,3,FALSE
"9","2024-03-17",5,"Love Is Blind","Love Is Blind: Season 6",45600000,14.3167,3200000,5,"false",FALSE,FALSE,FALSE,FALSE,TRUE,6,FALSE
"10","2024-03-17",7,"One Day","One Day: Limited Series",12700000,6.6667,1900000,6,"false",FALSE,TRUE,FALSE,TRUE,TRUE,1,TRUE
"11","2024-03-17",8,"Blown Away","Blown Away: Season 4",7600000,5.2167,1500000,1,"false",FALSE,FALSE,FALSE,TRUE,TRUE,4,FALSE
"12","2024-03-17",1,"The Signal","The Signal: Limited Series",28700000,4.15,6900000,2,"false",FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE
"13","2024-03-17",5,"Young Royals","Young Royals: Season 3",11500000,3.95,2900000,1,"false",FALSE,FALSE,FALSE,TRUE,FALSE,3,FALSE
"14","2024-03-10",5,"Love Is Blind","Love Is Blind: Season 6",43800000,12.7,3400000,4,"false",FALSE,FALSE,FALSE,FALSE,TRUE,6,FALSE
"15","2024-03-10",6,"One Day","One Day: Limited Series",20400000,6.6667,3100000,5,"false",FALSE,TRUE,FALSE,TRUE,TRUE,1,TRUE
"16","2024-03-10",8,"Blood & Water","Blood & Water: Season 4",10500000,4.6667,2200000,1,"false",FALSE,FALSE,FALSE,TRUE,TRUE,4,FALSE
"17","2024-03-10",10,"The Tourist","The Tourist: Season 2",11300000,5.75,2e+06,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE,2,FALSE
"18","2024-03-10",2,"The Signal","The Signal: Limited Series",20500000,4.15,4900000,1,"false",FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE
